z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
12.1210,0.6000,0.0379,1.8853,1.8853,1.8853,1.8853,2.1872,5.6103,5.4769,9.6768,11.2071
12.7425,0.6430,0.0361,2.0182,2.0182,2.0182,2.0182,2.3410,6.1771,6.0019,10.6682,12.1858
13.4090,0.6900,0.0343,2.1649,2.1649,2.1649,2.1649,2.5107,6.8188,6.5937,11.7916,13.2797
14.1250,0.7420,0.0326,2.3266,2.3266,2.3266,2.3266,2.6976,7.5454,7.2607,13.0647,14.5016
14.8960,0.8000,0.0309,2.5050,2.5050,2.5050,2.5050,2.9036,8.3701,8.0138,14.5107,15.8687
15.7275,0.8630,0.0293,2.7044,2.7044,2.7044,2.7044,3.1338,9.3165,8.8741,16.1715,17.4169
16.6260,0.9340,0.0277,2.9250,2.9250,2.9250,2.9250,3.3883,10.3957,9.8500,18.0673,19.1559
17.5990,1.0120,0.0261,3.1724,3.1724,3.1724,3.1724,3.6735,11.6411,10.9703,20.2570,21.1342
18.6550,1.1000,0.0247,3.4482,3.4482,3.4482,3.4482,3.9911,13.0740,12.2523,22.7790,23.3750
19.8040,1.1980,0.0232,3.7585,3.7585,3.7585,3.7585,4.3484,14.7375,13.7326,25.7099,25.9367
21.0570,1.3080,0.0218,4.1082,4.1082,4.1082,4.1082,4.7507,16.6742,15.4460,29.1256,28.8714
22.4265,1.4310,0.0205,4.5045,4.5045,4.5045,4.5045,5.2064,18.9428,17.4416,33.1314,32.2538
